PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, BLKM
Station name, Upper_Block_Midd
Begin Date, 2017-01-15
End Date, 2018-01-23
Release Date, 2018-02-13
Source file, BLKM.pbo.nam08.pos
Offset from source file, -1.72 mm North, -33.08 mm East, -7.46 mm Vertical
Reference position, 42.6131348870 North Latitude, -114.8905526888 East Longitude, 1079.34090 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2017-05-16,0.50, -38.31, -10.36, 1.97, 1.64, 6.83, suppf,
2017-05-17,-0.21, -39.16, -11.37, 1.95, 1.63, 6.69, suppf,
2017-05-18,-0.47, -38.93, -17.01, 2, 1.68, 6.92, suppf,
2017-05-19,0.05, -39.37, -17.50, 2.02, 1.64, 6.91, suppf,
2017-05-20,0.64, -38.29, -16.74, 2.02, 1.66, 7.03, suppf,
2017-05-21,0.59, -40.28, -18.80, 1.9, 1.6, 6.53, suppf,
2017-05-22,0.21, -40.81, -25.72, 1.88, 1.6, 6.62, suppf,
2017-05-23,0.36, -41.83, -20.78, 1.97, 1.65, 6.81, suppf,
2017-05-24,-1.37, -42.68, -11.38, 2.1, 1.74, 7.21, suppf,
2017-05-25,0.25, -42.92, -12.11, 2.07, 1.7, 7.13, suppf,
2017-05-26,0.01, -43.29, -14.19, 2.03, 1.68, 6.94, suppf,
2017-05-27,0.49, -44.16, -21.88, 1.96, 1.61, 6.73, suppf,
2017-05-28,0.30, -44.28, -21.99, 1.98, 1.62, 6.86, suppf,
2017-05-29,1.12, -46.05, -20.60, 2.05, 1.68, 7.13, suppf,
2017-05-30,0.27, -45.95, -18.69, 2.01, 1.64, 6.99, suppf,
2017-05-31,0.84, -46.17, -17.76, 2.1, 1.7, 7.22, suppf,
2017-06-01,1.02, -47.87, -22.64, 2.13, 1.73, 7.41, suppf,
2017-06-02,0.28, -47.21, -20.37, 2.11, 1.75, 7.37, suppf,
2017-06-03,1.26, -47.85, -22.62, 2.05, 1.68, 7.13, suppf,
2017-06-04,1.10, -48.70, -20.33, 2.06, 1.69, 7.13, suppf,
2017-06-05,1.85, -50.85, -28.08, 2.12, 1.72, 7.28, suppf,
2017-06-06,2.63, -49.73, -26.09, 2.08, 1.71, 7.19, suppf,
2017-06-07,0.62, -49.59, -28.93, 2.15, 1.75, 7.38, suppf,
2017-06-08,1.82, -50.87, -29.23, 2.08, 1.7, 7.11, suppf,
2017-06-09,2.29, -52.29, -28.85, 2.13, 1.73, 7.29, suppf,
2017-06-10,1.82, -52.93, -22.56, 2.14, 1.73, 7.34, suppf,
2017-06-11,2.89, -52.68, -25.10, 2.14, 1.74, 7.45, suppf,
2017-06-12,1.75, -54.06, -27.59, 2.1, 1.7, 7.25, suppf,
